"file","light","treatment","opsin","spikes","cell","recording","index","uw_mm2","intensity_mv","rel_uw_mm2","treatment2","delta_t_rheo_s","pa_injection_start_s","rheo_s"
"28092022_TP184_cover2_cell4_0004","635nm","intensity_curve","tp184",0,3,1,8,4.391321294,100,0,NA,NA,NA,NA
"28092022_TP184_cover2_cell4_0006","550nm","ramp_no_light","tp184",22,3,1,9,0,NA,1,"continuous",0.13752,0.32,0.45752
"28092022_TP184_cover2_cell4_0007","550nm","ramp_550nm_continuous","tp184",0,3,1,9,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"28092022_TP184_cover2_cell4_0008","635nm","ramp_no_light","tp184",22,3,1,10,0,NA,1,"continuous",0.13386,0.32,0.45386
"28092022_TP184_cover2_cell4_0009","635nm","ramp_635nm_continuous","tp184",0,3,1,10,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"28092022_TP184_cover2_cell4_0010","550nm","ramp_no_light","tp184",21,3,1,11,0,NA,1,"pulse",0.13821,0.32,0.45821
"28092022_TP184_cover2_cell4_0011","550nm","ramp_550nm_pulse","tp184",0,3,1,11,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"28092022_TP184_cover2_cell4_0012","635nm","ramp_no_light","tp184",22,3,1,12,0,NA,1,"pulse",0.09417,0.32,0.41417
"28092022_TP184_cover2_cell4_0013","635nm","ramp_635nm_pulse","tp184",4,3,1,12,103.9365987,5000,0.181818182,"pulse",0.34905,0.32,0.66905
"26092022_TP184_cover1_cell3_0000","550nm","ramp_no_light","tp184",18,4,1,13,0,NA,1,"continuous",0.14547,0.32,0.46547
"26092022_TP184_cover1_cell3_0001","550nm","ramp_550nm_continuous","tp184",0,4,1,13,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover1_cell3_0002","635nm","ramp_no_light","tp184",18,4,1,14,0,NA,1,"continuous",0.14391,0.32,0.46391
"26092022_TP184_cover1_cell3_0003","635nm","ramp_635nm_continuous","tp184",0,4,1,14,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover1_cell3_0004","550nm","ramp_no_light","tp184",18,4,1,15,0,NA,1,"pulse",0.13507,0.32,0.45507
"26092022_TP184_cover1_cell3_0005","550nm","ramp_550nm_pulse","tp184",2,4,1,15,259.8414967,5000,0.111111111,"pulse",0.44795,0.32,0.76795
"26092022_TP184_cover1_cell3_0006","635nm","ramp_no_light","tp184",19,4,1,16,0,NA,1,"pulse",0.12794,0.32,0.44794
"26092022_TP184_cover1_cell3_0008","635nm","ramp_635nm_pulse","tp184",6,4,1,16,103.9365987,5000,0.315789474,"pulse",0.34243,0.32,0.66243
"26092022_TP184_cover1_cell3_0012","550nm","ramp_no_light","tp184",21,4,2,17,0,NA,1,"continuous",0.11925,0.32,0.43925
"26092022_TP184_cover1_cell3_0013","550nm","ramp_550nm_continuous","tp184",0,4,2,17,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover1_cell3_0014","635nm","ramp_no_light","tp184",22,4,2,18,0,NA,1,"continuous",0.10008,0.32,0.42008
"26092022_TP184_cover1_cell3_0015","635nm","ramp_635nm_continuous","tp184",0,4,2,18,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover1_cell3_0016","550nm","ramp_no_light","tp184",22,4,2,19,0,NA,1,"pulse",0.08886,0.32,0.40886
"26092022_TP184_cover1_cell3_0017","550nm","ramp_550nm_pulse","tp184",7,4,2,19,259.8414967,5000,0.318181818,"pulse",0.29512,0.32,0.61512
"26092022_TP184_cover1_cell3_0018","635nm","ramp_no_light","tp184",20,4,2,20,0,NA,1,"pulse",0.09703,0.32,0.41703
"26092022_TP184_cover1_cell3_0019","635nm","ramp_635nm_pulse","tp184",9,4,2,20,103.9365987,5000,0.45,"pulse",0.24512,0.32,0.56512
"26092022_TP184_cover2_cell4_0000","550nm","ramp_no_light","tp184",11,5,1,21,0,NA,1,"continuous",0.15395,0.32,0.47395
"26092022_TP184_cover2_cell4_0001","550nm","ramp_550nm_continuous","tp184",0,5,1,21,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover2_cell4_0002","635nm","ramp_no_light","tp184",12,5,1,22,0,NA,1,"continuous",0.15304,0.32,0.47304
"26092022_TP184_cover2_cell4_0003","635nm","ramp_635nm_continuous","tp184",0,5,1,22,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover2_cell4_0004","550nm","ramp_no_light","tp184",13,5,1,23,0,NA,1,"pulse",0.13997,0.32,0.45997
"26092022_TP184_cover2_cell4_0005","550nm","ramp_550nm_pulse","tp184",0,5,1,23,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"26092022_TP184_cover2_cell4_0006","635nm","ramp_no_light","tp184",13,5,1,24,0,NA,1,"pulse",0.15856,0.32,0.47856
"26092022_TP184_cover2_cell4_0007","635nm","ramp_635nm_pulse","tp184",3,5,1,24,103.9365987,5000,0.230769231,"pulse",0.39684,0.32,0.71684
"26092022_TP184_cover2_cell4_0010","550nm","ramp_no_light","tp184",14,5,2,25,0,NA,1,"continuous",0.13295,0.32,0.45295
"26092022_TP184_cover2_cell4_0011","550nm","ramp_550nm_continuous","tp184",0,5,2,25,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover2_cell4_0012","635nm","ramp_no_light","tp184",15,5,2,26,0,NA,1,"continuous",0.14391,0.32,0.46391
"26092022_TP184_cover2_cell4_0013","635nm","ramp_635nm_continuous","tp184",0,5,2,26,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover2_cell4_0014","550nm","ramp_no_light","tp184",16,5,2,27,0,NA,1,"pulse",0.16851,0.32,0.48851
"26092022_TP184_cover2_cell4_0015","550nm","ramp_550nm_pulse","tp184",3,5,2,27,259.8414967,5000,0.1875,"pulse",0.39817,0.32,0.71817
"26092022_TP184_cover2_cell4_0016","635nm","ramp_no_light","tp184",14,5,2,28,0,NA,1,"pulse",0.15524,0.32,0.47524
"26092022_TP184_cover2_cell4_0017","635nm","ramp_635nm_pulse","tp184",5,5,2,28,103.9365987,5000,0.357142857,"pulse",0.34905,0.32,0.66905
"26092022_TP184_cover3_cell6_0013","550nm","ramp_no_light","tp184",14,6,1,29,0,NA,1,"continuous",0.07725,0.32,0.39725
"26092022_TP184_cover3_cell6_0014","550nm","ramp_550nm_continuous","tp184",0,6,1,29,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover3_cell6_0015","635nm","ramp_no_light","tp184",15,6,1,30,0,NA,1,"continuous",0.06355,0.32,0.38355
"26092022_TP184_cover3_cell6_0016","635nm","ramp_635nm_continuous","tp184",0,6,1,30,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover3_cell6_0018","550nm","ramp_no_light","tp184",13,6,1,31,0,NA,1,"pulse",0.10479,0.32,0.42479
"26092022_TP184_cover3_cell6_0019","550nm","ramp_550nm_pulse","tp184",0,6,1,31,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"26092022_TP184_cover3_cell6_0020","635nm","ramp_no_light","tp184",11,6,1,32,0,NA,1,"pulse",0.08621,0.32,0.40621
"26092022_TP184_cover3_cell6_0021","635nm","ramp_635nm_pulse","tp184",3,6,1,32,103.9365987,5000,0.272727273,"pulse",0.39883,0.32,0.71883
"26092022_TP184_cover3_cell7_0001","550nm","ramp_no_light","tp184",12,7,1,33,0,NA,1,"continuous",0.23706,0.32,0.55706
"26092022_TP184_cover3_cell7_0002","550nm","ramp_550nm_continuous","tp184",0,7,1,33,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover3_cell7_0003","635nm","ramp_no_light","tp184",21,7,1,34,0,NA,1,"continuous",0.10282,0.32,0.42282
"26092022_TP184_cover3_cell7_0004","635nm","ramp_635nm_continuous","tp184",0,7,1,34,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"26092022_TP184_cover3_cell7_0005","550nm","ramp_no_light","tp184",18,7,1,35,0,NA,1,"pulse",0.15723,0.32,0.47723
"26092022_TP184_cover3_cell7_0006","550nm","ramp_550nm_pulse","tp184",0,7,1,35,259.8414967,5000,0,"pulse",0.49906,0.32,0.81906
"26092022_TP184_cover3_cell7_0007","635nm","ramp_no_light","tp184",16,7,1,36,0,NA,1,"pulse",0.14064,0.32,0.46064
"26092022_TP184_cover3_cell7_0008","635nm","ramp_635nm_pulse","tp184",4,7,1,36,103.9365987,5000,0.25,"pulse",0.34706,0.32,0.66706
"27092022_TP184_cover1_cell1_0004","550nm","ramp_no_light","tp184",17,8,1,37,0,NA,1,"continuous",0.10738,0.32,0.42738
"27092022_TP184_cover1_cell1_0005","550nm","ramp_550nm_continuous","tp184",0,8,1,37,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"27092022_TP184_cover1_cell1_0006","635nm","ramp_no_light","tp184",17,8,1,38,0,NA,1,"continuous",0.12473,0.32,0.44473
"27092022_TP184_cover1_cell1_0007","635nm","ramp_635nm_continuous","tp184",0,8,1,38,103.9365987,5000,0,"continuous",0.5,0.32,0.82
