scorer,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
1,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
2,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
3,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
4,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
5,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
6,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
7,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
