scorer,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
1,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
2,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
3,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
4,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
5,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
6,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
7,528.2591552734375,224.25599670410156,0.9999751448631287,521.4155883789062,226.1965789794922,0.9999314546585083,531.31982421875,230.95120239257812,0.9999961853027344,516.38916015625,268.9113464355469,0.9999882578849792,520.7100830078125,245.89938354492188,0.9999920129776001,534.2927856445312,217.90176391601562,0.9997416734695435,568.7193603515625,202.70733642578125,0.9980366230010986
