scorer,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000
bodyparts,LH,LH,LH,RH,RH,RH,TB,TB,TB,Center,Center,Center,LF,LF,LF,RF,RF,RF,Snout,Snout,Snout
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,132.5554962158203,723.39794921875,0.9999692440032959,171.67361450195312,688.5010986328125,0.9995923638343811,130.80384826660156,663.263427734375,0.9999656677246094,157.17550659179688,703.9248046875,0.9997630715370178,160.90652465820312,719.6953125,0.2695395350456238,184.8678436279297,716.1190185546875,0.9999340772628784,216.36375427246094,713.667724609375,0.9998242259025574
1,132.7865447998047,723.4683837890625,0.9999688863754272,171.73629760742188,688.5010986328125,0.9997701048851013,130.86532592773438,663.2706909179688,0.9999812841415405,157.40220642089844,703.9248046875,0.9998718500137329,161.1438751220703,720.358154296875,0.4022803008556366,184.8678436279297,716.1190185546875,0.9999265670776367,216.75592041015625,713.667724609375,0.9998024106025696
2,132.7865447998047,723.4683837890625,0.9999780654907227,171.73629760742188,688.6221923828125,0.9997438788414001,130.9450225830078,663.2706909179688,0.9999905824661255,157.40220642089844,703.9248046875,0.9997910857200623,179.45315551757812,720.7075805664062,0.33041611313819885,184.8678436279297,716.1190185546875,0.9996786117553711,217.2886962890625,713.667724609375,0.9998387098312378
3,132.5554962158203,723.39794921875,0.9999709129333496,171.73629760742188,688.6221923828125,0.9997566342353821,131.19149780273438,663.263427734375,0.9999933242797852,157.17550659179688,703.8057861328125,0.9998055100440979,179.45315551757812,720.7075805664062,0.5492879152297974,184.85240173339844,715.9375,0.9996057152748108,217.31190490722656,710.9210815429688,0.9999653100967407
4,132.6399383544922,723.1558227539062,0.999941349029541,171.68612670898438,688.6221923828125,0.9997223019599915,131.7099151611328,662.4835205078125,0.9999947547912598,156.81488037109375,703.6181640625,0.9998331069946289,179.45315551757812,720.7075805664062,0.4125629663467407,183.1161651611328,714.8805541992188,0.9994126558303833,217.2886962890625,709.4752197265625,0.999956488609314
5,132.6399383544922,723.1558227539062,0.9999529123306274,171.53326416015625,688.5216674804688,0.9996825456619263,131.90731811523438,662.412109375,0.9999959468841553,156.43267822265625,703.446533203125,0.9998149275779724,176.7759246826172,718.9248657226562,0.6142747402191162,181.51162719726562,714.8043823242188,0.9993085861206055,217.2886962890625,708.608154296875,0.9999552965164185
6,132.55746459960938,722.9527587890625,0.9999516010284424,171.43807983398438,688.5216674804688,0.9996325969696045,131.7099151611328,662.1159057617188,0.9999961853027344,156.43267822265625,703.0045776367188,0.9997714161872864,174.92489624023438,717.4356079101562,0.6450074315071106,180.72262573242188,713.8301391601562,0.9973395466804504,217.44825744628906,707.1375122070312,0.9999141693115234
7,132.55746459960938,722.9527587890625,0.9999526739120483,171.182861328125,688.3705444335938,0.9995064735412598,131.7099151611328,661.791259765625,0.9999957084655762,156.079833984375,702.7566528320312,0.9997233748435974,174.9080047607422,715.948486328125,0.3056483268737793,180.07896423339844,713.389404296875,0.9980048537254333,217.09494018554688,707.1375122070312,0.9990543723106384
8,132.55746459960938,722.9527587890625,0.9999587535858154,171.36874389648438,688.174072265625,0.9995054006576538,131.6243133544922,661.3971557617188,0.9999957084655762,155.9189453125,702.043701171875,0.9997406601905823,174.9080047607422,714.5758666992188,0.28732284903526306,180.0479736328125,711.1343994140625,0.9925647974014282,216.92196655273438,706.5109252929688,0.9997872710227966
9,132.43389892578125,722.9769897460938,0.9999622106552124,171.182861328125,688.118408203125,0.999516487121582,129.38800048828125,659.7637939453125,0.999991774559021,155.9189453125,700.967041015625,0.9998278617858887,173.8054962158203,714.1109619140625,0.35816633701324463,180.0479736328125,710.2075805664062,0.9965991377830505,216.9121551513672,705.9664916992188,0.9999572038650513
10,132.43389892578125,722.9769897460938,0.9999691247940063,170.83811950683594,686.822998046875,0.9992604851722717,127.68618774414062,658.8023681640625,0.9999728202819824,155.82232666015625,700.6417846679688,0.9998745918273926,173.6995086669922,714.1109619140625,0.3222517669200897,180.0479736328125,710.1863403320312,0.9956051707267761,216.64581298828125,706.5109252929688,0.9999037981033325
11,132.43389892578125,722.9769897460938,0.9999672174453735,170.65550231933594,686.0701904296875,0.9992392063140869,124.50846862792969,656.66943359375,0.99996018409729,155.2480010986328,700.4244995117188,0.9998812675476074,173.8054962158203,714.1109619140625,0.36060863733291626,181.1016082763672,709.875244140625,0.9945164322853088,215.95086669921875,707.1549072265625,0.9999502897262573
12,132.52723693847656,722.6984252929688,0.9999544620513916,170.61495971679688,685.980712890625,0.9994462132453918,122.10874938964844,656.66943359375,0.9998598098754883,154.2543487548828,700.4244995117188,0.9998546838760376,173.8054962158203,714.7921142578125,0.7692095041275024,181.1016082763672,709.2789306640625,0.9832530617713928,214.09573364257812,707.1549072265625,0.9999916553497314
13,132.6859130859375,722.5986328125,0.9999489784240723,170.61495971679688,685.980712890625,0.9997566342353821,120.47457122802734,656.66943359375,0.9999680519104004,153.1659698486328,700.5608520507812,0.9998990297317505,174.31979370117188,721.9038696289062,0.9951756000518799,182.27008056640625,708.39404296875,0.9741641283035278,212.67420959472656,709.54443359375,0.9999785423278809
14,133.28372192382812,722.34130859375,0.9999312162399292,170.65550231933594,686.0701904296875,0.999610960483551,119.98623657226562,657.1116943359375,0.9999926090240479,153.1659698486328,700.6417846679688,0.9998561143875122,174.8406982421875,722.5543823242188,0.9984575510025024,182.27008056640625,709.2696533203125,0.974582850933075,212.67420959472656,714.3888549804688,0.9998979568481445
15,133.28372192382812,722.3292846679688,0.9998931884765625,171.42962646484375,688.2669677734375,0.999906063079834,119.98623657226562,658.0863037109375,0.9999947547912598,153.1659698486328,701.9593505859375,0.9997119307518005,175.96453857421875,728.13037109375,0.999675989151001,182.0010223388672,709.2696533203125,0.9999891519546509,212.67420959472656,729.36669921875,0.9999277591705322
16,133.34512329101562,722.3292846679688,0.9999176263809204,172.71717834472656,689.1075439453125,0.999963641166687,119.98623657226562,658.7122192382812,0.9999926090240479,153.98446655273438,703.6087646484375,0.9999336004257202,180.74606323242188,735.1157836914062,0.9999803304672241,181.54055786132812,709.2696533203125,0.9999486207962036,212.92843627929688,740.798583984375,0.9999943971633911
17,133.4233856201172,722.34130859375,0.9999740123748779,173.3207244873047,689.1075439453125,0.9999796152114868,122.19464874267578,661.376220703125,0.9999771118164062,156.64743041992188,706.6043090820312,0.9999738931655884,193.32505798339844,742.7357177734375,0.9999910593032837,182.0010223388672,709.5902709960938,0.9998323917388916,219.09381103515625,742.5530395507812,0.9999496936798096
18,133.4233856201172,722.35107421875,0.9999759197235107,174.2362060546875,689.1075439453125,0.9999891519546509,127.1650161743164,664.4852294921875,0.999910831451416,159.84860229492188,709.049560546875,0.9999744892120361,199.14935302734375,747.6848754882812,0.999988317489624,182.0010223388672,710.3847045898438,0.9997276663780212,225.9397430419922,748.3065795898438,0.9999580383300781
19,133.6158905029297,722.51025390625,0.9999887943267822,174.37863159179688,688.7880249023438,0.9999847412109375,129.09002685546875,667.8848266601562,0.9999680519104004,163.4753875732422,709.6758422851562,0.9999617338180542,199.5432891845703,748.6197509765625,0.9999959468841553,194.22933959960938,710.9169921875,0.8187163472175598,232.4275360107422,748.3065795898438,0.9999731779098511
20,135.0281982421875,723.9923706054688,0.999954342842102,174.49270629882812,688.7880249023438,0.9999781847000122,133.1669921875,672.03955078125,0.9999849796295166,171.10350036621094,711.35107421875,0.9998241066932678,200.0342559814453,748.866943359375,0.9999786615371704,219.5232391357422,719.1683959960938,0.9999904632568359,241.54515075683594,748.3065795898438,0.9999603033065796
