scorer,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000
bodyparts,LH,LH,LH,RH,RH,RH,TB,TB,TB,Center,Center,Center,LF,LF,LF,RF,RF,RF,Snout,Snout,Snout
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,724.8695068359375,690.259033203125,0.9999964237213135,753.9863891601562,713.2230834960938,0.9997405409812927,769.9506225585938,667.5885620117188,0.999976634979248,738.850830078125,702.7467041015625,0.9999852180480957,712.6913452148438,713.6253051757812,0.9930654764175415,717.184326171875,734.466552734375,0.8104190826416016,695.020751953125,731.6345825195312,0.9944995641708374
1,725.3079833984375,690.3547973632812,0.999995231628418,754.091796875,713.2230834960938,0.9995456337928772,770.0940551757812,667.5885620117188,0.9999797344207764,739.0213623046875,702.7736206054688,0.9999872446060181,712.6913452148438,719.4497680664062,0.9934883117675781,717.184326171875,734.466552734375,0.9493388533592224,695.020751953125,731.6345825195312,0.9968885779380798
2,725.3245849609375,690.3547973632812,0.9999926090240479,754.091796875,713.2345581054688,0.9996225833892822,770.5153198242188,667.5885620117188,0.9999779462814331,739.5231323242188,702.8001708984375,0.9999788999557495,712.6913452148438,720.4688720703125,0.9929206967353821,717.184326171875,734.466552734375,0.989879846572876,695.020751953125,731.6345825195312,0.9994774460792542
3,725.48193359375,690.3547973632812,0.9999920129776001,754.091796875,713.2345581054688,0.9992375373840332,770.5153198242188,667.5885620117188,0.9999796152114868,739.5231323242188,702.8001708984375,0.9999778270721436,712.6913452148438,720.4688720703125,0.9872996211051941,716.1605224609375,733.802001953125,0.9928829669952393,694.8748168945312,731.2337646484375,0.9995143413543701
4,725.611328125,690.29296875,0.9999927282333374,754.22998046875,713.2213745117188,0.9993823766708374,770.2064208984375,667.7349853515625,0.9999792575836182,739.5231323242188,702.7736206054688,0.9999830722808838,713.5405883789062,720.4688720703125,0.9926857948303223,716.1605224609375,732.7142333984375,0.9965031147003174,694.7813720703125,729.3518676757812,0.9998520612716675
5,725.7229614257812,690.1802368164062,0.9999911785125732,754.0159301757812,713.2213745117188,0.9991841912269592,770.2064208984375,667.7349853515625,0.9999762773513794,739.5231323242188,702.3484497070312,0.9999760389328003,713.74462890625,719.6262817382812,0.9665635824203491,716.1605224609375,732.4144287109375,0.9994126558303833,694.67431640625,729.1276245117188,0.9999251365661621
6,726.0364379882812,690.1516723632812,0.9999827146530151,753.8269653320312,713.2345581054688,0.9991503953933716,770.2064208984375,667.8563232421875,0.9999749660491943,739.4679565429688,702.3388671875,0.999970555305481,715.80126953125,714.697998046875,0.9877414703369141,718.8048706054688,731.430908203125,0.998971700668335,694.2958984375,728.73876953125,0.9999346733093262
7,726.5956420898438,689.84521484375,0.9999862909317017,753.6672973632812,713.2213745117188,0.9991279244422913,770.0906982421875,668.1815185546875,0.999976634979248,739.2905883789062,701.4277954101562,0.9999793767929077,715.8233032226562,714.4446411132812,0.9987213015556335,718.9090576171875,727.3349609375,0.9988271594047546,694.2958984375,725.8363037109375,0.9999796152114868
8,726.6078491210938,689.271484375,0.9999876022338867,753.5914916992188,713.302734375,0.9992935657501221,769.99951171875,668.2064208984375,0.9999748468399048,739.2905883789062,701.1734008789062,0.9999747276306152,715.9525146484375,711.8473510742188,0.9990102052688599,720.9910888671875,725.72509765625,0.9998750686645508,694.3368530273438,725.8363037109375,0.9999957084655762
9,726.8050537109375,689.271484375,0.9999815225601196,753.386962890625,713.302734375,0.9988524913787842,769.8228759765625,668.2064208984375,0.9999734163284302,739.607421875,700.9732666015625,0.9999809265136719,716.7557983398438,711.403076171875,0.9992122650146484,721.5901489257812,725.72509765625,0.9997225403785706,694.67431640625,724.9515991210938,0.9999908208847046
10,726.8427734375,689.271484375,0.9999685287475586,753.3592529296875,713.302734375,0.9989281296730042,769.556396484375,668.2064208984375,0.9999686479568481,739.510986328125,700.9732666015625,0.9999812841415405,716.87109375,709.0176391601562,0.9998948574066162,722.7279663085938,725.72509765625,0.999453604221344,696.5487060546875,724.9515991210938,0.9999024868011475
11,726.8427734375,689.647216796875,0.9999823570251465,753.2131958007812,713.302734375,0.9987462759017944,769.5501098632812,668.2709350585938,0.9999690055847168,739.8009643554688,700.9349975585938,0.9999794960021973,717.2276000976562,709.0176391601562,0.999932050704956,722.7319946289062,726.1270141601562,0.9989010095596313,697.1524047851562,726.0707397460938,0.9998713731765747
12,726.8190307617188,689.647216796875,0.999976396560669,753.2131958007812,713.302734375,0.9981630444526672,769.1280517578125,668.2709350585938,0.9999698400497437,739.8009643554688,700.834716796875,0.9999769926071167,717.6356201171875,709.0176391601562,0.9999040365219116,722.8796997070312,726.4273071289062,0.9991186261177063,697.6817626953125,726.2489624023438,0.9998987913131714
13,726.8050537109375,689.647216796875,0.9999783039093018,753.3592529296875,713.1710205078125,0.9983804225921631,769.0525512695312,668.1641845703125,0.9999699592590332,739.643310546875,700.9349975585938,0.9999761581420898,717.2593994140625,710.3263549804688,0.9999173879623413,722.7319946289062,726.819580078125,0.9983751773834229,697.3916015625,728.2221069335938,0.9997724890708923
14,726.6500854492188,689.4098510742188,0.999982476234436,753.5023193359375,712.9000244140625,0.9991676807403564,768.8895874023438,668.1641845703125,0.9999690055847168,739.643310546875,700.871826171875,0.9999741315841675,717.6356201171875,711.3828125,0.9999206066131592,722.7319946289062,727.6731567382812,0.9989417195320129,698.1127319335938,728.3428344726562,0.9997345805168152
15,726.6500854492188,689.3831176757812,0.999981164932251,753.521728515625,712.7415161132812,0.9986642599105835,768.8538818359375,668.052978515625,0.9999576807022095,739.795166015625,700.871826171875,0.9999772310256958,717.9055786132812,711.5073852539062,0.9999264478683472,722.7630615234375,728.2303466796875,0.9985820055007935,698.1127319335938,728.651123046875,0.9997517466545105
16,726.6500854492188,689.366455078125,0.9999803304672241,753.5225219726562,712.6753540039062,0.9982751607894897,768.8538818359375,668.0274658203125,0.999962329864502,739.643310546875,700.9203491210938,0.999976396560669,717.9055786132812,712.1509399414062,0.9999134540557861,722.6859130859375,729.1661376953125,0.9987130165100098,697.3916015625,730.0145263671875,0.9989445805549622
17,726.5822143554688,689.1031494140625,0.9999706745147705,753.568115234375,712.6753540039062,0.9988805651664734,768.8538818359375,667.7821044921875,0.9999692440032959,739.795166015625,700.9203491210938,0.9999788999557495,717.9713134765625,712.6090698242188,0.9998972415924072,722.5746459960938,729.1661376953125,0.9990407824516296,697.04833984375,730.6729125976562,0.9992614388465881
18,726.4910888671875,689.0763549804688,0.9999783039093018,753.568115234375,712.6753540039062,0.9993461966514587,768.9630126953125,667.7821044921875,0.9999662637710571,739.8623046875,700.871826171875,0.9999792575836182,717.9713134765625,712.7544555664062,0.9998455047607422,722.6859130859375,729.1661376953125,0.9992662072181702,696.5504760742188,731.2939453125,0.9999169111251831
19,726.7138671875,688.9755249023438,0.9999686479568481,753.6948852539062,712.5609741210938,0.999092698097229,769.1249389648438,667.7821044921875,0.9999669790267944,740.0346069335938,700.9203491210938,0.9999774694442749,718.3156127929688,712.8409423828125,0.9999179840087891,722.7630615234375,729.2894287109375,0.9991666078567505,695.1513671875,731.60693359375,0.9998438358306885
20,726.8582153320312,688.9745483398438,0.9999713897705078,753.6948852539062,712.3990478515625,0.9988089799880981,769.4971313476562,667.813720703125,0.9999703168869019,740.0346069335938,700.412353515625,0.9999755620956421,719.16259765625,712.939453125,0.9999366998672485,723.444091796875,729.7003784179688,0.9995852112770081,695.1513671875,732.0247802734375,0.9995492100715637
21,726.8582153320312,688.9755249023438,0.9999665021896362,753.6948852539062,712.3990478515625,0.998839795589447,769.515869140625,667.945556640625,0.9999724626541138,740.2674560546875,700.412353515625,0.9999817609786987,719.16259765625,712.939453125,0.999911904335022,725.3765869140625,729.7003784179688,0.999843955039978,695.6854248046875,733.6432495117188,0.9996880292892456
