scorer,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
1,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
2,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
3,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
4,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
5,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
6,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
7,165.5989990234375,208.69085693359375,0.9999990463256836,160.9954376220703,215.09385681152344,0.9999861717224121,171.92013549804688,212.93161010742188,0.9999964237213135,176.57005310058594,259.5942077636719,0.9999909400939941,170.84188842773438,233.1025390625,0.9999428987503052,163.05892944335938,196.66262817382812,0.9999936819076538,158.85043334960938,263.5616760253906,0.02037784270942211
