scorer,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
1,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
2,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
3,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
4,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
5,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
6,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
7,473.6920471191406,251.5205535888672,0.999984622001648,481.3137512207031,244.3510284423828,0.9999973773956299,466.94140625,245.67926025390625,0.9999986886978149,469.7163391113281,210.65586853027344,0.9999916553497314,472.896728515625,229.322021484375,0.9999982118606567,474.1969299316406,261.4014892578125,0.9993240833282471,482.8317565917969,291.5711364746094,0.9502599835395813
