scorer,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
1,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
2,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
3,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
4,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
5,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
6,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
7,342.4869079589844,352.0694885253906,0.9999890327453613,350.8734130859375,350.9221496582031,0.9999881982803345,340.6466369628906,343.8099060058594,0.9999949932098389,361.4248046875,307.37542724609375,0.9999967813491821,352.7696838378906,328.6425476074219,0.9999918937683105,341.4315185546875,357.0933532714844,0.998860239982605,339.43096923828125,390.71099853515625,0.9425632357597351
